SQL> start /home/ggupta/Documents/COEN178L/Labs/Lab5/lab5.sql
Creating AlphaCoEmp, Emp_Work, and EmpStats Tables

Table created.


420 rows created.


Table created.


42 rows created.


Table altered.


Table altered.


Table created.

==========QUESTION 1==========

Procedure created.

No errors.

PL/SQL procedure successfully completed.


NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Maher                     director                 100000                       
Messina                   assistant                600000                       
Newell                    advisor                  130000                       
Noel                      supervisor               800000                       
Oleske                    assistant                600000                       
Page                      advisor                  130000                       
Psaki                     supervisor               800000                       
Reinstein                 advisor                  130000                       
Roche                     manager                  500000                       
Rouse                     supervisor               800000                       
Sathe                     director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Schulman                  manager                  500000                       
Seymour                   director                 100000                       
Shapiro                   supervisor               800000                       
Shaw                      director                 100000                       
Sher                      assistant                600000                       
Showers                   assistant                600000                       
Siegel                    director                 100000                       
Sirbu                     manager                  500000                       
Stephens                  manager                  500000                       
Sutton                    assistant                600000                       
Terry                     manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Vanderslice               advisor                  130000                       
Adams                     advisor                  130000                       
Alley                     assistant                600000                       
Anello                    assistant                600000                       
Barnes                    director                 100000                       
Bates                     manager                  500000                       
Bedingfield               advisor                  130000                       
Chaifetz                  assistant                600000                       
Clarke                    assistant                600000                       
Cobbina                   assistant                600000                       
Crutchfield               director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Dalheim                   assistant                600000                       
Ealons                    supervisor               800000                       
Escobar                   manager                  500000                       
Farrell                   director                 100000                       
Gaspard                   assistant                600000                       
Groth                     manager                  500000                       
Heimbach                  manager                  500000                       
Jawando                   supervisor               800000                       
Kennedy                   assistant                600000                       
Konwinski                 manager                  500000                       
Lewis                     advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Liddell-Westefeld         supervisor               800000                       
Limon                     supervisor               800000                       
Loeb                      supervisor               800000                       
London                    assistant                600000                       
Wear                      assistant                600000                       
White                     director                 100000                       
Yeager Kaplan             supervisor               800000                       
Lynn                      director                 100000                       
Mackey                    supervisor               800000                       
McCarthy                  supervisor               800000                       
McGinnis                  director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
McGuire                   supervisor               800000                       
Mosteller                 director                 100000                       
Mueller                   director                 100000                       
Murtha                    manager                  500000                       
Onek                      assistant                600000                       
Papas                     assistant                600000                       
Parker                    assistant                600000                       
Paulsen                   assistant                600000                       
Quinn                     director                 100000                       
Raizk                     assistant                600000                       
Reed                      advisor                  130000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Ryan                      assistant                600000                       
Sahgal                    assistant                600000                       
Sass                      assistant                600000                       
Schafer                   supervisor               800000                       
Schwartz                  director                 100000                       
Sibley                    director                 100000                       
Singiser                  manager                  500000                       
Starkey                   assistant                600000                       
Swanson                   manager                  500000                       
Tamarin                   director                 100000                       
Tchen                     manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Turton                    advisor                  130000                       
Agnew                     assistant                600000                       
Bauer                     advisor                  130000                       
Beliveau                  manager                  500000                       
Bhowmik                   director                 100000                       
Brennan                   director                 100000                       
Buffett                   supervisor               800000                       
Carrier                   assistant                600000                       
Cherlin                   manager                  500000                       
Cizner                    director                 100000                       
Cokley                    assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Colvin                    manager                  500000                       
Cuellar                   manager                  500000                       
Cutter                    advisor                  130000                       
Deese                     manager                  500000                       
Dillon                    supervisor               800000                       
Donilon                   director                 100000                       
Dorsett                   supervisor               800000                       
Fernandez                 assistant                600000                       
Frank                     assistant                600000                       
Frankel                   advisor                  130000                       
Frye                      assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Gonzalez                  assistant                600000                       
Graham                    manager                  500000                       
Hoang                     director                 100000                       
Hopkins                   supervisor               800000                       
Inouye                    director                 100000                       
Johnson                   assistant                600000                       
Larus                     manager                  500000                       
Voorman                   assistant                600000                       
Watson                    assistant                600000                       
Wright                    supervisor               800000                       
Lovett                    supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Martin                    advisor                  130000                       
Massey                    manager                  500000                       
Mattson                   assistant                600000                       
McDonough                 supervisor               800000                       
Milakofsky                director                 100000                       
Miranda                   supervisor               800000                       
Mu??oz                    advisor                  130000                       
Muntz                     manager                  500000                       
Odio                      assistant                600000                       
Pojman                    director                 100000                       
Pope                      manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Rodriguez                 assistant                600000                       
Sutphen                   director                 100000                       
Thomas                    director                 100000                       
Asen                      director                 100000                       
Belive                    director                 100000                       
Browner                   manager                  500000                       
Brundage                  assistant                600000                       
Brush                     assistant                600000                       
Cardwell                  director                 100000                       
Chen                      manager                  500000                       
Chiodo                    assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Corrigan                  director                 100000                       
Crowley                   assistant                600000                       
Davies                    director                 100000                       
Devine                    director                 100000                       
Edgerton                  supervisor               800000                       
Edmonds                   manager                  500000                       
Eisen                     assistant                600000                       
Espinel                   director                 100000                       
Favreau                   manager                  500000                       
Gardaphe                  assistant                600000                       
Gillette                  director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Gomez                     director                 100000                       
Gottry                    assistant                600000                       
Grant                     assistant                600000                       
Green                     assistant                600000                       
Harper                    supervisor               800000                       
Hughes                    advisor                  130000                       
Hurwitz                   assistant                600000                       
Juska                     manager                  500000                       
Kammerer                  director                 100000                       
Kimball                   manager                  500000                       
Kommareddi                manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Kravis                    manager                  500000                       
LaBolt                    advisor                  130000                       
Lerner                    assistant                600000                       
Lewin                     manager                  500000                       
Lippert                   manager                  500000                       
Zichal                    advisor                  130000                       
Lu                        advisor                  130000                       
Naidoff                   director                 100000                       
Narechania                advisor                  130000                       
Oxtoby                    director                 100000                       
Pipkins                   assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Portilla                  assistant                600000                       
Richardson                assistant                600000                       
Samuels                   manager                  500000                       
Simas                     manager                  500000                       
Trainor                   advisor                  130000                       
Turk                      director                 100000                       
Vogel                     manager                  500000                       
Birdsall                  supervisor               800000                       
Brown                     director                 100000                       
Claude                    advisor                  130000                       
